Country,CountryCode,Year,Gender wage gap %,Globalization index,GDP(in $),Population,% Labour force participation(Men),% Labour force participation(Women),Employment rates of women with Low education level and have atleast 1 child,Employment rates of women with Moderate education level and have atleast 1 child,Employment rates of women with High education level and have atleast 1 child
Australia,11,1990,18.2,66,17373.049,17048002,75.6,52.2,NA,NA,NA
Australia,11,1991,16,67,17827.031,17271092,NA,NA,NA,NA,NA
Australia,11,1992,14.3,69,18234.54,17462500,NA,NA,NA,NA,NA
Australia,11,1993,13.2,70,19195.232,17631514,NA,NA,NA,NA,NA
Australia,11,1994,14.4,72,20150.082,17805506,NA,NA,NA,NA,NA
Australia,11,1995,14.5,72,21014.396,18003002,73.8,53.6,NA,NA,NA
Australia,11,1997,15.3,73,22125.264,18211850,NA,NA,NA,NA,NA
Australia,11,1998,13.2,73,23105.055,18410254,NA,NA,NA,NA,NA
Australia,11,1999,14.3,74,24360.82,18601666,NA,NA,NA,NA,NA
Australia,11,2000,17.2,76,25468.219,18800892,72.1,54.5,NA,NA,NA
Australia,11,2001,14.3,77,26532.564,19017968,NA,NA,NA,NA,NA
Australia,11,2002,15,78,27656.705,19248146,NA,NA,NA,NA,NA
Australia,11,2003,13,77,29016.678,19475842,NA,NA,NA,NA,NA
Australia,11,2004,14.4,78,30078.303,19699004,NA,NA,NA,NA,NA
Australia,11,2005,15.8,78,31722.475,19925060,72.1,57,NA,NA,NA
Australia,11,2006,16.7,78,33018.164,20171732,NA,NA,NA,NA,NA
Australia,11,2007,15.4,79,34800.918,20467032,NA,NA,NA,NA,NA
Australia,11,2008,11.9,80,36620.035,20830832,NA,NA,NA,NA,NA
Australia,11,2009,16.4,80,37517.855,21247876,NA,NA,NA,NA,NA
Australia,11,2010,14,80,40307.23,21660898,72.4,58.6,NA,NA,NA
Australia,11,2011,16,81,39371.656,22019166,NA,NA,NA,NA,NA
Australia,11,2012,13.8,81,42018.117,22357032,NA,NA,NA,NA,NA
Australia,11,2013,18,80,42847.297,22729272,NA,NA,NA,NA,NA
Australia,11,2014,15.4,80,45907.754,23111788,NA,NA,NA,NA,NA
Australia,11,2015,13,80,46882.188,23469578,71.1,59.1,NA,NA,NA
Australia,11,2016,14.3,80,46251.41,23820240,NA,NA,NA,NA,NA
Australia,11,2017,NA,81,47249.434,24195706,NA,NA,NA,NA,NA
Australia,11,2018,NA,81,48400.246,24590336,71,60.5,NA,NA,NA
Australia,11,2019,NA,81,50192.957,24979228,71.1,61,NA,NA,NA
Australia,11,2020,NA,81,51810.777,25357168,70,60.2,NA,NA,NA
Australia,11,2021,NA,80,53358.207,25670052,70.6,61.2,NA,NA,NA
Austria,12,1990,NA,74,19461.996,7678732,NA,NA,NA,NA,NA
Austria,12,1991,NA,78,20605.854,7755640,NA,NA,NA,NA,NA
Austria,12,1992,NA,78,21281.154,7840816,NA,NA,NA,NA,NA
Austria,12,1993,NA,79,21720.512,7905280,NA,NA,NA,NA,NA
Austria,12,1994,NA,80,22629.97,7935366,NA,NA,NA,NA,NA
Austria,12,1995,NA,81,23684.62,7947293,70.8,48.8,NA,NA,NA
Austria,12,1996,NA,82,24553.84,7958043,NA,NA,NA,NA,NA
Austria,12,1997,NA,83,25426.717,7967086,NA,NA,NA,NA,NA
Austria,12,1998,NA,84,26675.043,7975856,NA,NA,NA,NA,NA
Austria,12,1999,NA,84,27606.482,7991382,NA,NA,NA,NA,NA
Austria,12,2000,23.1,86,29376.02,8010425,68.9,49,NA,NA,NA
Austria,12,2001,22.8,86,29702.797,8039633,NA,NA,NA,NA,NA
Austria,12,2002,24.5,84,NA,NA,NA,NA,NA,NA,NA
Austria,12,2003,21.1,86,32144.242,8120105,NA,NA,NA,NA,NA
Austria,12,2004,22.4,87,33773.824,8171215,NA,NA,NA,NA,NA
Austria,12,2005,22,87,35013.715,8227034,66.4,51.3,NA,NA,NA
Austria,12,2006,21.9,87,NA,NA,NA,NA,53.3,73.5,80.4
Austria,12,2007,21.6,88,39430.61,8294720,NA,NA,54.4,73.4,79.4
Austria,12,2008,20.9,88,41316.227,8321134,NA,NA,52.7,75.3,81.9
Austria,12,2009,19.4,88,40918.133,8342939,NA,NA,53.1,77.5,83.1
Austria,12,2010,19.2,87,,,67.1,54.2,54,77.2,79.6
Austria,12,2011,18.6,88,46457.348,8429641,NA,NA,53.1,78.5,82
Austria,12,2012,18.2,88,47922.05,8479542,NA,NA,54.2,80.1,84.3
Austria,12,2013,18.1,88,49865.902,8642422,NA,NA,52.7,79.3,84
Austria,12,2014,17.7,89,NA,NA,NA,NA,53.6,78.2,83.5
Austria,12,2015,17,88,NA,NA,66.4,55.4,52.8,77.5,82.7
Austria,12,2016,NA,88,52684.016,8736491,NA,NA,51.7,77.8,85.5
Austria,12,2017,NA,89,54172.99,8797497,NA,NA,49.4,79.3,83.6
Austria,12,2018,NA,89,56960.09,8840518,67.1,55.9,53.4,79.3,83.3
